Title	Abstract	Keywords	Coordinator	Participants	URL	Interesting
Novel, orally available immune modulator MP1032 with anti-SARS-CoV-2 and anti-cytokine activity (iMPact)	The current global COVID-19 pandemic has caused severe health and socio-economic challenges. Despite significant improvements in the treatment of critical COVID-19 patients and advances in vaccine development, there is still an urgent need for safe and effective early-intervention treatments. To reduce disease burden, hospitalization time, and mortality, it is of critical importance to halt disease progression in early (mild-to-moderate) stages. Our new drug, MP1032, has a dual mode of action, targeting two important mechanisms (immune system overactivation and viral replication) in the early development of COVID-19. Its unique mechanism of self-regulation prevents immune-suppression, which is critical for early intervention. In combination with the oral availability, favourable safety profile, rapid and affordable production scale-up, and potential to work against viral variants, MP1032 is the ideal candidate for early treatment of COVID-19, which can also be used safely in high-risk patients. Therefore, the iMPact project aims to clinically validate MP1032 in a Phase II trial for its ability to stop COVID-19 disease progression. The outcome of the project shall serve as a basis for follow-up rapid Phase IIb/III development and market registration. Four international SME’s will work together in the iMPact project to achieve the objectives: 1) To demonstrate the efficacy of MP-1032 in hospitalized COVID-19 patients, 2) To demonstrate the effect of MP1032 on current SARS-CoV-2 variants, 3) To develop a GMP-compliant production scale-up process for MP1032, 4) To ensure that the clinical development plan is in line with regulatory requirements and 5) To collaborate with existing EU research networks. We have 29 clinical sites on board, and the required expertise for upscaling GMP manufacturing and regulatory preparation is available, ensuring that, by October 2022, MP1032 will be ready to progress to Phase IIb/III trials.	RoS, anti-inflammatory, viral replication, self-regulatory, variant agnostic, early treatment, GMP production scale-up,PiP	METRIOPHARM AG	IMMUNOLOGIK GMBH, Catalyze B.V., MC TOXICOLOGY CONSULTING GMBH, BLUST VOLKER	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101046182/program/43108390/details	
ExeVir's XVR011, a best in class nanobody-based biology that broadly neutralizes SARS-COV-1 and SARS-COV-2 (XVR011 Phase 2)	XVR011, ExeVir's clinical lead candidate has emerged from scientific research from labs of highly regarded virologist Xavier Saelens and biochemist Nico Callewaert. Nonclinical data has recently been published in Cell and a preprint on BiorxIV. XVR011 is a nanobody-Fc fusion, has best-in-class potential, neutralizes SARS-CoV-2 and minimizes the development of lung damage in hamsters. The lama-derived single-domain antibodies are smaller than human antibodies and can attach to parts of a virus that are difficult to access for the human immune system. XVR011 inactivates spike proteins and sterically blocks spike binding to ACE2, preventing virus from entering a human cell, stopping viral replication; this supplements the patient's own immune response in a critical time window during which many COVID-19 patient's immune system reacts too slowly, giving it more time to do its job and eliminate the virus. It binds to a unique highly conserved epitope in the viral receptor-binding domain. Its epitope is much less susceptible to human antibody immunity pressure that can lead to viral escape, resulting in retained potency against such escape variants. It thus neutralises the rapidly spreading SARS-CoV-2 variants, and exhibits a unique, wide scope binding across the Sarbecovirus clades. Furthermore, XVR011 has been optimized for stability, safety and manufacturability. XVR011 received approval from the Belgium regulators to move into its Phase 1b. Seven IP patents were filed early on during the pandemic. ExeVir has surrounded itself with both a team of experienced entrepreneurs and is backed by a mix of private and public experienced partners and has a strong board of directors bringing with expertise across the whole value chain. The objectives of this proposal is to demonstrate XVR011 safety and efficacy in a global Phase 2; to strengthen its nonclinical package including neutralising variants data, set-up its manufacturing process and progress its regulatory pathway.	SARS; nanobody; covid-19	EXEVIR BIO	VIB VZW, GRANZER HEINZ ULRICH, MILLIPORE SAS	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101045949/program/43108390/details	
EU-Africa Concerted Action on SAR-CoV-2 Virus Variant and Immunological Surveillance (CoVICIS)	Despite of the successful advances achieved to date in the fight against the COVID-19 pandemic with the development of vaccines and therapy, the worldwide propagation of SARS-CoV-2 has resulted in the rapid evolution of this virus and in the emergence of variants of concern (VOC) that may dampen the efficacy of the first generation vaccines. To tackle the challenges associated with the VOC, the CoVICIS program is proposing a global approach with a powerful state-of-the-art virologic and immunologic platforms coupled with large genomic surveillance studies and diverse cohorts in EU and SSA. This allows CoVICIS to contribute to the early identification of emerging VOC and address key unanswered questions regarding i) the susceptibility to infection with VOC after a prior infection in the setting of a long-COVID or after vaccination with different vaccines, ii) the risk posed by VOC in immunocompromised patients, and iii) the modalities of infection and immune responses in children. The diversity of the cohorts provides a unique opportunity to study virus evolution in different settings, where SARS-CoV-2-specific humoral and cellular immune responses are predicted to vary very significantly. Beyond the genomic surveillance, the ground-breaking research and innovation of the program is the characterization of virologic and immunologic properties of VOC and the identification of immune correlates of protection after disease or vaccination. CoVICIS’ ambitious goals are only achievable thanks to the existing population studies and cohorts funded by national and international public agencies and public-private partnerships, and the combined collective expertise of CoVICIS partners in the fields of epidemiology, genomics, virology, immunology, data science and public health.	Emerging VOC, vaccination study, long-COVID, genomic, virologic and immunologic surveillance	CENTRE HOSPITALIER UNIVERSITAIRE VAUDOIS	SOUTH AFRICAN MEDICAL RESEARCH COUNCIL, INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE, WITS HEALTH CONSORTIUM (PTY) LTD, UNIVERSITY OF CAPE TOWN, LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN, ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE, STIFTUNG SWISS SCHOOL OF PUBLIC HEALTH PLUS (SSPH), UNIVERSITA DEGLI STUDI DI MILANO, EUROVACC FOUNDATION, STICHTING INTERNATIONAL AIDS VACCINE INITIATIVE THE NETHERLANDS, JIMMA UNIVERSITY, STELLENBOSCH UNIVERSITY, UNIVERSITE DE GENEVE, UNIVERSITAT ZURICH	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101046041/program/43108390/details	
Biointegrable soft actuators alimented by metabolic energy (INTEGRATE)	State-of-the art implantable actuating devices, such as automated prosthetics, have time-limited operational capacities because they are sustained by batteries which, ultimately, rely on external power sources to be recharged. INTEGRATE proposes a radically new way to solve this problem: use metabolic energy from the patient to power implanted devices. To achieve this ambitious goal, INTEGRATE will develop i) new 3D printable soft actuating materials inspired by human muscles whit high performances and low power consumption and ii) an artificial organ capable of harvesting metabolic (biochemical) energy and transform it into electricity. The actuating materials (Bionic Muscles) will be prepared via self-assembly of biocompatible colloidal liquid crystals and stimuli-responsive polymers. A modular design and 3D printability will offer the possibility to manufacture these materials on the basis of patient’s anatomy and needs. The Energy-Harvesting Organ will be capable of converting pH differences within various body fluids (e.g. gastric juice and saliva) in electricity with high efficiency, providing the necessary power to sustain the Bionic Muscles. This research will revolutionize the field of implantable devices and will represent a turning point in robotics, wearable technologies, materials science, energy conversion, and materials engineering.	artificial muscles, bionics, energy-autonomous prosthetics	VELTHA IVZW	TECHNISCHE UNIVERSITEIT EINDHOVEN, UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA, CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101046333/program/43108390/details	
Complex chemical reaction networks for breakthrough scalable reservoir computing (CORENET)	The brain is the world’s most amazing computer and it runs entirely on chemical reactions. The vision of CORENET is to construct brain-mimicking computing devices that utilise networks of chemical reactions as molecular information processing systems. To achieve this vision, we will implement reservoir computing (RC) on microfluidic chips using chemical reaction networks (CRNs) that convert input feedstock molecules and environmental conditions into a pattern of product molecules. This pattern can be monitored on a chip using a combination of high-throughput mass spectrometry analysis, algorithmic cheminformatics and AI tools. CORENET will generate a breakthrough in highly scalable and functional chemical RC by integrating our partners’ new knowledge and state-of-the-art methodologies in systems and analytical chemistry, microfluidics, cheminformatics and machine learning. CORENET will produce microfluidic chip devices that perform high-level computing with molecules, synthesising and analysing a pattern of output molecules in situ. This molecule-based computing power enables truly sustainable AI and speaks the language of living systems, which constantly process information about their molecular environment. Future applications of our chemical RC system lie in implantable devices, brain-machine interfaces and personalised medicine. CORENET brings together 4 leading scientists with complimentary expertise that covers all fundamental aspects of this project. Their expertise is combined with the world-class knowledge in AI/ML modelling of a high-tech global industry partner with unique research and computing infrastructure, while an SME specialised in the communication and dissemination of results will ensure maximised impact. Our highly interdisciplinary team will generate new scientific knowledge and breakthrough technologies to achieve essential priorities for Europe`s future and its support to the UN Sustainable Development Goals.	Systems chemistry, reaction networks, microfluidics, cheminformatics, artificial intelligence, chemical computing	UNIVERSIDAD AUTONOMA DE MADRID	STICHTING RADBOUD UNIVERSITEIT, AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS, SYDDANSK UNIVERSITET	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101046294/program/43108390/details	
Hybrid electronic-photonic architectures for brain-inspired computing (HYBRAIN)	As artificial intelligence (AI) proliferates, hardware systems that can perform inference at ultralow latency, high precision and low power are crucial and urgently required to deal – especially quasi-locally, i.e. ‘in the edge’ – with massive and heterogenous data, respond in real time and avoid unintended consequences and function in complex and often unpredictable environments. Conventional digital electronics and the associated computer architecture is unable to meet these stringent requirements with sub-ms latency inference and a sub-10W power budget, using convolution neural networks (CNNs) on benchmarks such as ImageNet classification. HYBRAIN’s vision is to realize a pathway for a radical new technology with ultrafast (~1 microsecond) and energy-efficient (~1 watt) edge AI inference based on a world-first, brain-inspired hybrid architecture of integrated photonics and unconventional electronics. The deeply entwined memory and processing like in the mammalian brain obviates the need to shuttle around synaptic weights. The most stringent latency bottleneck in CNNs is in the initial convolution layers. Our approach will take advantage of the ultrahigh throughput and low latency of photonic convolutional processors (PCPs) employing novel phase-change materials in these initial layers to radically speed up processing. Their output is processed using cascaded electronic linear and nonlinear classifier layers, based on memristive (phase-change memory) crossbar arrays and dopant network processing units, respectively. HYBRAIN’s science-towards-technology breakthrough brings together the world’s top research groups from academia and industry in complementary technology platforms. Each of these platforms is already highly promising, but by integrating them, HYBRAIN will have a transformative effect of overcoming existing barriers of latency and energy consumption and will enable a whole new spectrum of edge AI applications throughout society.	Physical-substrate computing, In-Memory Computing, Brain-Inspired Computing, Neuromorphic Computing, Unconventional Computing	UNIVERSITEIT TWENTE	WESTFAELISCHE WILHELMS-UNIVERSITAET MUENSTER, TRUST-IT SRL, RUPRECHT-KARLS-UNIVERSITAET HEIDELBERG	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101046878/program/43108390/details	
an electric Contrast medium for computationally intensive Electroencephalographies for high REsolution BRain imaging withOut skull trepanation (CEREBRO)	Imaging the brain activity is fundamentally important for many brain-related scientific disciplines. Among the non-invasive neuroimaging strategies, Electroencephalography (EEG) from scalp potentials is one of the primary. In EEG the neuroninduced electric potential is measured by using electrodes on the patient’s scalp. The skull however, highly resistive, shields EEG recordings limiting the spatial resolution. The standard way to avoid skull shielding effects is to invasively implant EEG electrodes under the skull (ECoG) or in the brain cortex (StereoEEG), in both cases after trepanning the patient’s skull. Scalp EEGs are noninvasive but lack spatial imaging accuracy. ECoG and StereoEEG are highly accurate but require skull trepanation and they image only a limited part of the brain. There is the need for increasing the resolution of scalp EEG providing the same level of accuracy of invasive EEGs. This will be the grand challenge which CEREBRO will achieve by conceiving the first ever existing EEG contrast medium, able to provide imaging of the entire brain and in a non-invasive way.	No keywords available	POLITECNICO DI TORINO	INSTITUT MINES-TELECOM, UNIVERSITE DE BRETAGNE OCCIDENTALE, G.TEC MEDICAL ENGINEERING GMBH	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101046748/program/43108390/details	
Chip-scale Optical Atomic Clock (CSOC)	Optical atomic clocks are at the heart of modern technology. From time-keeping to navigation to global positioning systems. This project will develop the world’s first all optical atomic clock that is chip scale. It will create this based on recent advances in Kerr soliton micro-comb technology, ps mode locked lasers that are heterogeneously integrated on a chip, and using novel on chip frequency doublers with vastly improved efficiency. Exploiting the Rb85 two photon transition enables to obtain a clock signal that is vastly improved compared to today’s radio frequency transition based clocks. This clock can revolutionize timekeeping in both mobile, airborne or space application and used in future GPS networks such as Galileo. Moreover the underlying clockwork - a chipscale comb - can have applications ranging from distance measurements, to time and frequency metrology. This consortium brings together the leading groups in Europe in the domain of Frequency combs, micro-comb technology and photonic chipscale laser integration.	atomic clock, frequency comb, photonic chip	UNIVERSITEIT GENT	MENLO SYSTEMS GMBH, DANMARKS TEKNISKE UNIVERSITET	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101047289/program/43108390/details	
Bottom-up reconstruction of a Synthetic Erythrocyte (SynEry)	Blood is a precious and vital resource for many clinical interventions. Erythrocytes, its key component, are used to save thousands of lives every day worldwide. Yet, in low- and middle-income countries, its scarcity and unsafe control are endemic burdens that cost lives. In spite of several decades of attempts to develop a safe and universal blood substitute, this goal has yet to be achieved. Beyond the mere transport of gasses, erythrocytes have evolved together with their host organisms to perform very specialized functions. It is now clear that much of their complexity is indispensable to establish effective cardiovascular regulation. Yet, reproducing this complexity in a synthetic, functional facsimile is a challenging endeavour that requires new methods and multidisciplinary approaches. The ambitious goal of SynEry is to reproduce, in an advanced lipid vesicle, the following key features of erythrocytes: adequate lipid asymmetry with raft-like nanodomains; integration of essential functional proteins (both cytosolic and transmembrane) and a biomimetic cytoskeleton (conferring durability, flexibility and biconcavity); enhanced immune tolerability; responsivity to environmental cues (such as under deformation and hypoxia). These goals will be tackled by an interdisciplinary consortium bringing expertise on: droplet-based microfluidics combined with interfacial self-assembly of biofunctionalized nanoparticles (to build complex biomimetic membranes with ordered cytoskeletal nanodomains); DNA origami and self-assembling peptide technologies (to reconstruct a biomimetic cell cortex); and in-vivo testing models (to verify biocompatibility and functionality). The knowledge gained by producing a synthetic erythrocyte, is envisioned to enable the production of artificial cells with in-vivo applicability and it will pave the way towards the future development of an effective blood substitute that can remedy pervasive global blood availability and safety issues	artificial cells, synthetic erythrocytes,	KATHOLIEKE UNIVERSITEIT LEUVEN	FONDAZIONE CASA SOLLIEVO DELLA SOFFERENZA, AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS, INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101046894/program/43108390/details	
Quantum Control of Gravity with Levitated Mechanics (QuCoM)	The main objective of QuCoM is to demonstrate the proof of concept (TRL 1) of a levitated acceleration sensor and its ability detecting gravity of small masses and in the quantum controlled regime. Toward this objective we will explore the interplay between quantum mechanics and gravity in a parameter range accessible for cost-effective table-top experiments. We will suspend sub millimetre particles in optical and magnetic traps and use those to detect gravitational forces in an unprecedented mass regime. Also, we will investigate quantum superpositions in which these masses are delocalized. We will address some of the most popular theoretical proposals combining quantum physics and gravity in a nonstandard fashion. The proposed experiments will assess their limits of validity and/or further constrain the values of their parameters. The consortium consists of two experimentalists, two theorists, and two SMEs to address the objective. The experiments in question will be performed with optically and magnetically trapped micro/nano-particles based on the experimental expertise of partners in the consortium. Levitated mechanics experiments at Southampton have been already picked up by the EU Innovation radar. In QuCoM we will, go beyond and demonstrate the two-mass gravity sensing as well as the operation of our sensors in the quantum domain. The state preparation, control and analysis schemes are based on the expertise of the theory partners. QuCoM partner high-tech SMEs will help to optimize the experimental apparatus for fulfilment of the targeted objectives, which will in turn put them in a position to offer their improved products in sub mK, low vibration cryogenic equipment to market. The SME LSI will explore, together with University of Leiden, the feasibility of implementing our technology into a micro-satellite platform for space-based metrology and Earth Exploration utilizing gravitational detection. This is our direct technology impact and innovation case.	Acceleration sensing, Levitated nano mechanics, quantum optomechanics, quantum gravitation, quantum measurement, low-temperature physics, vibration isolation	UNIVERSITA DEGLI STUDI DI TRIESTE	UNIVERSITEIT LEIDEN, LEIDEN CRYOGENICS BV, LEIDEN SPIN IMAGING BV, EBERHARD KARLS UNIVERSITAET TUEBINGEN	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101046973/program/43108390/details	
